Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Corrida (ms)
00:00:00.000+12:00,00:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
00:15:00.000+12:00,00:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
00:30:00.000+12:00,00:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
00:45:00.000+12:00,01:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
01:00:00.000+12:00,01:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
01:15:00.000+12:00,01:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
01:30:00.000+12:00,01:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
01:45:00.000+12:00,02:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
02:00:00.000+12:00,02:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
02:15:00.000+12:00,02:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
02:30:00.000+12:00,02:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
02:45:00.000+12:00,03:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
03:00:00.000+12:00,03:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
03:15:00.000+12:00,03:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
03:30:00.000+12:00,03:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
03:45:00.000+12:00,04:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
04:00:00.000+12:00,04:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
04:15:00.000+12:00,04:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
04:30:00.000+12:00,04:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
04:45:00.000+12:00,05:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
05:00:00.000+12:00,05:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
05:15:00.000+12:00,05:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
05:30:00.000+12:00,05:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
05:45:00.000+12:00,06:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
06:00:00.000+12:00,06:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
06:15:00.000+12:00,06:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
06:30:00.000+12:00,06:45:00.000+12:00,,16.7265625,18.921484958636164,,,,,,,0.31535808264393606,0.31535808264393606,0.31535808264393606,29,,,,,
06:45:00.000+12:00,07:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
07:00:00.000+12:00,07:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
07:15:00.000+12:00,07:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
07:30:00.000+12:00,07:45:00.000+12:00,,16.7265625,19.573949957209823,,,,,,,0.32623248815142813,0.32623248815142813,0.32623248815142813,30,,,,,
07:45:00.000+12:00,08:00:00.000+12:00,,19.696852453125,15.006694967194198,,,,,,,0.6416408384494381,0.6416408384494381,0.6416408384494381,35,,,,49899,
08:00:00.000+12:00,08:15:00.000+12:00,2,24.415719880208336,186.67073050449028,1.0,1,-36.79701232910156,174.70639038085938,-36.79701232910156,174.70639038085938,0.8062183863040225,1.6137133161861474,0.282734832715253,293,,,,129173,
08:15:00.000+12:00,08:30:00.000+12:00,15,114.68062227777779,1163.2982072840473,14.0,14,-36.80744934082031,174.70323181152344,-36.79853439331055,174.705078125,1.5934025354991432,2.3603791065471507,0.29554321142550277,1699,,,,316471,583529
08:30:00.000+12:00,08:45:00.000+12:00,5,32.11761232557353,216.5026848163949,,,-36.80783462524414,174.705078125,-36.807682037353516,174.70529174804688,0.4508943703737178,1.399408436011299,0.2609859994294643,373,,,,255319,1423
08:45:00.000+12:00,09:00:00.000+12:00,4,27.33152661653932,176.63765343520672,,,-36.807777404785156,174.705078125,-36.80777359008789,174.70513916015625,0.5012874881357878,1.1236367342154405,0.2604029398461054,283,,,,178156,
09:00:00.000+12:00,09:15:00.000+12:00,3,16.7265625,137.79239879944913,,,,,,,0.5078103831554146,1.1613292188954063,0.30448366600104165,246,,,,,
09:15:00.000+12:00,09:30:00.000+12:00,6,26.36431770530333,204.2224587054115,,,,,,,0.3940669427558728,0.6470708464724289,0.2609859994294643,332,,,,161909,
09:30:00.000+12:00,09:45:00.000+12:00,9,16.737277187500002,257.0712094380224,,,,,,,0.3989022719728917,0.6733881297479728,0.27186041607235867,402,,,,180,
09:45:00.000+12:00,10:00:00.000+12:00,3,20.52668014085353,155.32037950661038,,,,,,,0.5032894558471912,0.8970113821410811,0.25011158278657,238,,,,63840,
10:00:00.000+12:00,10:15:00.000+12:00,1,16.726562499999996,112.06363742077916,,,,,,,0.3881756654035485,0.5292208332316629,0.31535808264393606,261,,,,,
10:15:00.000+12:00,10:30:00.000+12:00,6,23.688396574642848,228.8554932399577,,,,,,,0.5095809067605248,1.2864215219474933,0.2951167213528551,345,,,,116954,
10:30:00.000+12:00,10:45:00.000+12:00,3,16.726562500000004,93.31883546781688,,,,,,,0.5759393176306488,1.0222710178018355,0.29360924935814736,168,,,,,
10:45:00.000+12:00,11:00:00.000+12:00,1,16.726562500000004,94.4488714144578,,,,,,,0.3015000257413591,0.3262324904957233,0.256027157639396,201,,,,,
11:00:00.000+12:00,11:15:00.000+12:00,7,16.726562500000004,216.24767155361843,,,,,,,0.43284438403628256,0.8031314655916251,0.277881174861014,378,,,,,
11:15:00.000+12:00,11:30:00.000+12:00,5,16.726562500000004,161.03565100068053,,,,,,,0.4036497985081855,0.5167627993530819,0.30448366600104165,267,,,,,
11:30:00.000+12:00,11:45:00.000+12:00,7,48.03737946875,232.13204966899497,,,-36.807762145996094,174.7052001953125,-36.807762145996094,174.7052001953125,0.5005172254502703,0.8441338085889442,0.32623248151757184,371,,,,526002,
11:45:00.000+12:00,12:00:00.000+12:00,12,43.890501902012204,690.4954980070389,6.0,6,-36.80782699584961,174.7042694091797,-36.804893493652344,174.70530700683594,1.0911492518295929,4.26489338926414,0.30448366600104165,1086,,,,452343,
12:00:00.000+12:00,12:15:00.000+12:00,11,53.34166308805781,1013.6804662385922,9.0,9,-36.802955627441406,174.7031707763672,-36.79924392700195,174.70452880859375,1.2364848921165101,1.9078268840165975,0.34995142950911484,1247,,,,615110,
12:15:00.000+12:00,12:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
12:30:00.000+12:00,12:45:00.000+12:00,,16.7265625,,,,,,,,,,,36,,,,,
12:45:00.000+12:00,13:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
13:00:00.000+12:00,13:15:00.000+12:00,,16.7265625,15.65915996576786,,,,,,,0.2609859994294643,0.2609859994294643,0.2609859994294643,24,,,,,
13:15:00.000+12:00,13:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
13:30:00.000+12:00,13:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
13:45:00.000+12:00,14:00:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
14:00:00.000+12:00,14:15:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
14:15:00.000+12:00,14:30:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
14:30:00.000+12:00,14:45:00.000+12:00,,16.7265625,,,,,,,,,,,,,,,,
14:45:00.000+12:00,15:00:00.000+12:00,10,54.56286226041667,,,,,,,,,,,232,,,,635626,
15:00:00.000+12:00,15:15:00.000+12:00,15,70.3,,,,,,,,,,,329,,,,900000,
15:15:00.000+12:00,15:30:00.000+12:00,15,32.46370023958333,2719.012506484443,,,,,,,4.083825459169961,8.183293017346323,0.7415217622157755,3126,,,,264374,
15:30:00.000+12:00,15:45:00.000+12:00,15,16.7265625,981.8014892079216,,,,,,,0.7555797611838616,0.7595988155137151,0.7436507446429784,1376,,,,,
15:45:00.000+12:00,16:00:00.000+12:00,15,16.7265625,742.3469367307875,,,,,,,0.8246914726281436,0.8246914726281436,0.8246914726281436,1138,,,,,
16:00:00.000+12:00,16:15:00.000+12:00,4,3.6002996527777773,159.7860539816535,,,,,,,,,,245,,,,,
16:15:00.000+12:00,16:30:00.000+12:00,,,,,,,,,,,,,,,,,,
16:30:00.000+12:00,16:45:00.000+12:00,,,,,,,,,,,,,,,,,,
16:45:00.000+12:00,17:00:00.000+12:00,,,,,,,,,,,,,,,,,,
17:00:00.000+12:00,17:15:00.000+12:00,,,,,,,,,,,,,,,,,,
17:15:00.000+12:00,17:30:00.000+12:00,,,,,,,,,,,,,,,,,,
17:30:00.000+12:00,17:45:00.000+12:00,,,,,,,,,,,,,,,,,,
17:45:00.000+12:00,18:00:00.000+12:00,,,,,,,,,,,,,,,,,,
18:00:00.000+12:00,18:15:00.000+12:00,,,,,,,,,,,,,,,,,,
18:15:00.000+12:00,18:30:00.000+12:00,,,,,,,,,,,,,,,,,,
18:30:00.000+12:00,18:45:00.000+12:00,,,,,,,,,,,,,,,,,,
18:45:00.000+12:00,19:00:00.000+12:00,,,,,,,,,,,,,,,,,,
19:00:00.000+12:00,19:15:00.000+12:00,,,,,,,,,,,,,,,,,,
19:15:00.000+12:00,19:30:00.000+12:00,,,,,,,,,,,,,,,,,,
19:30:00.000+12:00,19:45:00.000+12:00,,,,,,,,,,,,,,,,,,
19:45:00.000+12:00,20:00:00.000+12:00,,,,,,,,,,,,,,,,,,
20:00:00.000+12:00,20:15:00.000+12:00,,,,,,,,,,,,,,,,,,
20:15:00.000+12:00,20:30:00.000+12:00,,,,,,,,,,,,,,,,,,
20:30:00.000+12:00,20:45:00.000+12:00,,,,,,,,,,,,,,,,,,
20:45:00.000+12:00,21:00:00.000+12:00,,,,,,,,,,,,,,,,,,
21:00:00.000+12:00,21:15:00.000+12:00,,,,,,,,,,,,,,,,,,
21:15:00.000+12:00,21:30:00.000+12:00,,,,,,,,,,,,,,,,,,
21:30:00.000+12:00,21:45:00.000+12:00,,,,,,,,,,,,,,,,,,
21:45:00.000+12:00,22:00:00.000+12:00,,,,,,,,,,,,,,,,,,
22:00:00.000+12:00,22:15:00.000+12:00,,,,,,,,,,,,,,,,,,
22:15:00.000+12:00,22:30:00.000+12:00,,,,,,,,,,,,,,,,,,
