Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Calistenia (ms)
2024-01-09,10,158.60000610351562,,10.0,10,,,,,,,,,,,,,,668197
2024-01-10,10,158.10000610351562,,10.0,10,,,,,,,,,,,,,,662607
2024-01-11,8,141.1999969482422,,8.0,8,,,,,,,,,,,,,,561142
2024-01-12,10,151.5,,10.0,10,,,,,,,,,,,,,,616695
2024-01-15,16,235.10000610351562,,16.0,16,,,,,,,,,,,,,,1037566
2024-01-16,8,142.39999389648438,,8.0,8,,,,,,,,,,,,,,583790
2024-01-17,10,73.80000305175781,,10.0,10,,,,,,,,,,,,,,630263
2024-01-22,17,236.10000610351562,,17.0,17,,,,,,,,,,,,,,1058150
2024-01-23,10,153.89999389648438,,10.0,10,,,,,,,,,,,,,,683984
2024-01-24,10,153.1999969482422,,10.0,10,,,,,,,,,,,,,,678524
2024-01-30,9,157.5,,9.0,9,,,,,,,,,,,,,,654027
2024-02-05,9,144.6999969482422,,9.0,9,,,,,,,,,,,,,,586578
2024-02-24,16,31.5,,16.0,16,,,,,,,,,,,,,,1046589
2024-03-02,16,236.89999389648438,,16.0,16,,,,,,,,,,,,,,1046871
2024-03-06,12,180.10000610351562,,12.0,12,,,,,,,,,,,,,,774499
2024-03-11,9,146.1999969482422,,9.0,9,,,,,,,,,,,,,,604335
2024-04-02,10,157.60000610351562,,10.0,10,,,,,,,,,,,,,,667788
2024-04-12,17,235.0,,17.0,17,,,,,,,,,,,,,,1096717
2024-04-16,11,161.8000030517578,,11.0,11,,,,,,,,,,,,,,699229
2024-04-22,14,25.600000381469727,,14.0,14,,,,,,,,,,,,,,893094
2024-04-23,15,179.10000610351562,,15.0,15,,,,,,,,,,,,,,1001974
2024-04-26,9,144.5,,9.0,9,,,,,,,,,,,,,,607788
2024-04-27,17,116.9000015258789,,17.0,17,,,,,,,,,,,,,,1061966
