date,steps,week,weekly_steps,Goal Scored,Goal Assisted,Team Win,football_day
2024-06-08,3615,1,66625,0.0,0.0,0.0,False
2024-06-09,2491,1,66625,0.0,0.0,0.0,False
2024-06-10,18051,1,66625,0.0,0.0,0.0,False
2024-06-11,13049,1,66625,0.0,0.0,0.0,False
2024-06-12,16118,1,66625,0.0,0.0,0.0,False
2024-06-13,13301,1,66625,4.0,1.0,4.0,True
2024-06-14,16142,2,76482,0.0,0.0,0.0,False
2024-06-15,1950,2,76482,0.0,0.0,0.0,False
2024-06-16,8883,2,76482,0.0,0.0,0.0,False
2024-06-17,18681,2,76482,0.0,0.0,0.0,False
2024-06-18,9249,2,76482,0.0,0.0,0.0,False
2024-06-19,9895,2,76482,0.0,0.0,0.0,False
2024-06-20,11682,2,76482,5.0,1.0,7.0,True
2024-06-21,2262,3,66996,0.0,0.0,0.0,False
2024-06-22,2939,3,66996,0.0,0.0,0.0,False
2024-06-23,9574,3,66996,0.0,0.0,0.0,False
2024-06-24,16989,3,66996,0.0,0.0,0.0,False
2024-06-25,9963,3,66996,0.0,0.0,0.0,False
2024-06-26,9079,3,66996,0.0,0.0,0.0,False
2024-06-27,16190,3,66996,3.0,4.0,5.0,True
2024-06-28,13895,4,64040,0.0,0.0,0.0,False
2024-06-29,2641,4,64040,0.0,0.0,0.0,False
2024-06-30,9679,4,64040,0.0,0.0,0.0,False
2024-07-01,8469,4,64040,0.0,0.0,0.0,False
2024-07-02,8051,4,64040,0.0,0.0,0.0,False
2024-07-03,8659,4,64040,0.0,0.0,0.0,False
2024-07-04,12646,4,64040,3.0,3.0,5.0,True
2024-07-05,7947,5,56696,0.0,0.0,0.0,False
2024-07-06,4552,5,56696,0.0,0.0,0.0,False
2024-07-07,2105,5,56696,0.0,0.0,0.0,False
2024-07-08,9542,5,56696,0.0,0.0,0.0,False
2024-07-09,15188,5,56696,0.0,0.0,0.0,False
2024-07-10,8000,5,56696,0.0,0.0,0.0,False
2024-07-11,9362,5,56696,1.0,1.0,3.0,True
